,baseMean,logFC,lfcSE,stat,pvalue,padj
ENSG00000187134,2051.710246,2.193885086,0.119770067,18.31747401,6.00E-75,9.87E-71
ENSG00000101255,7539.984726,1.928484617,0.107094057,18.00739148,1.70E-72,1.40E-68
ENSG00000139269,673.8426294,2.230976124,0.133312589,16.73492462,7.29E-63,4.00E-59
ENSG00000108602,703.5764864,2.721848815,0.164745452,16.52154147,2.57E-61,1.05E-57
ENSG00000168209,4106.717901,1.646383024,0.112876232,14.58573689,3.46E-48,1.14E-44
ENSG00000092621,2987.22867,1.507675666,0.105374449,14.3077917,1.96E-46,5.36E-43
ENSG00000078814,2315.135364,-1.721458651,0.122029589,-14.10689548,3.44E-45,8.08E-42
ENSG00000123358,1446.802413,-1.639239016,0.126963797,-12.91107426,3.90E-38,8.01E-35
ENSG00000128965,739.6806941,1.722803197,0.137093209,12.56665597,3.22E-36,5.88E-33
ENSG00000059804,1111.227916,-1.396342522,0.111337886,-12.54148584,4.43E-36,7.27E-33
ENSG00000187837,986.1212698,-1.522327643,0.123189545,-12.35760419,4.43E-35,6.62E-32
ENSG00000146678,155.0992154,2.887963981,0.237979411,12.13535226,6.86E-34,9.40E-31
ENSG00000135069,4613.301581,1.433484225,0.118611015,12.08559105,1.26E-33,1.59E-30
ENSG00000113739,1745.005491,1.349209802,0.113913256,11.84418607,2.31E-32,2.71E-29
ENSG00000212900,635.5383157,-1.469251321,0.126933779,-11.57494352,5.52E-31,6.05E-28
ENSG00000145920,762.4850884,1.309844261,0.11326602,11.5643179,6.25E-31,6.42E-28
ENSG00000167996,43984.94178,1.213210816,0.105168192,11.53591015,8.70E-31,8.41E-28
ENSG00000151632,1084.986923,1.504439626,0.132757744,11.33221748,9.09E-30,8.30E-27
ENSG00000129757,1193.65703,-1.404870593,0.126656377,-11.09198468,1.37E-28,1.19E-25
ENSG00000151012,1520.895778,1.268945427,0.114997214,11.0345754,2.60E-28,2.14E-25
ENSG00000196305,5330.675786,1.076594918,0.099320511,10.83960313,2.23E-27,1.67E-24
ENSG00000111859,444.00387,-1.901726363,0.17543381,-10.84013604,2.22E-27,1.67E-24
ENSG00000212901,153.0978116,-2.329576438,0.215160011,-10.82718127,2.56E-27,1.83E-24
ENSG00000196365,3016.777701,1.069741088,0.099035807,10.8015588,3.38E-27,2.32E-24
ENSG00000103184,179.1705326,-2.219207717,0.20569772,-10.78868406,3.89E-27,2.56E-24
ENSG00000167995,132.8061966,2.702148993,0.254402576,10.62154731,2.37E-26,1.50E-23
ENSG00000138678,340.3778481,1.772866439,0.167334817,10.59472541,3.15E-26,1.92E-23
ENSG00000166123,3523.342147,0.99752193,0.094571897,10.54776272,5.20E-26,3.05E-23
ENSG00000166986,4231.502071,1.044082303,0.100413053,10.39787426,2.54E-25,1.44E-22
ENSG00000139438,380.6840515,-1.634437541,0.15863459,-10.30315989,6.82E-25,3.73E-22
ENSG00000110328,733.3292005,1.40313092,0.136666901,10.266794,9.95E-25,5.27E-22
ENSG00000183508,461.0600798,-1.936126419,0.189044671,-10.24163447,1.29E-24,6.63E-22
ENSG00000136111,203.9078336,2.134499949,0.209884893,10.16985987,2.70E-24,1.35E-21
ENSG00000198431,5164.578254,1.166375415,0.114913243,10.15005216,3.31E-24,1.60E-21
ENSG00000104738,2436.681049,1.060284616,0.104658206,10.13092673,4.03E-24,1.89E-21
ENSG00000146005,1632.415324,-1.217087096,0.120214021,-10.12433561,4.31E-24,1.97E-21
ENSG00000072274,4199.023076,1.072930247,0.106393117,10.08458327,6.46E-24,2.87E-21
ENSG00000111199,503.6389967,-1.417145433,0.140616372,-10.07809699,6.91E-24,2.99E-21
ENSG00000170345,3299.94228,-1.136194241,0.113080714,-10.04763945,9.41E-24,3.96E-21
ENSG00000187244,1109.825047,-1.244200995,0.12408148,-10.02729009,1.16E-23,4.75E-21
ENSG00000196169,556.6569273,-1.326333168,0.132507877,-10.00946656,1.38E-23,5.55E-21
ENSG00000181019,17025.8327,1.21140783,0.123048748,9.844942362,7.21E-23,2.82E-20
ENSG00000140105,2629.597319,1.067173001,0.109512522,9.74475779,1.94E-22,7.42E-20
ENSG00000196139,6901.51518,1.18467897,0.122183648,9.695888028,3.14E-22,1.17E-19
ENSG00000248323,1229.326566,1.638842864,0.169537491,9.666551339,4.18E-22,1.53E-19
ENSG00000174564,99.92852218,2.497498356,0.260777841,9.577111101,9.98E-22,3.56E-19
ENSG00000173826,104.1425992,-2.728967123,0.286837883,-9.51397039,1.84E-21,6.42E-19
ENSG00000010610,455.6666814,-1.233257729,0.129718951,-9.507151558,1.96E-21,6.71E-19
ENSG00000140873,326.0848537,-1.909324119,0.202361946,-9.435193524,3.90E-21,1.31E-18
ENSG00000070814,2319.997928,0.967898562,0.102832607,9.412370195,4.85E-21,1.59E-18
ENSG00000168386,311.5347916,-1.440751617,0.153344519,-9.395520823,5.69E-21,1.83E-18
ENSG00000124253,368.7078907,-1.368799588,0.146163634,-9.364843699,7.62E-21,2.41E-18
ENSG00000104419,1598.717339,-1.353049233,0.145793038,-9.280616199,1.69E-20,5.22E-18
ENSG00000169129,1059.369901,-0.97805268,0.105800944,-9.244271804,2.37E-20,7.21E-18
ENSG00000169583,275.8153188,-1.475455887,0.160181435,-9.211154128,3.23E-20,9.58E-18
ENSG00000164938,211.8796576,-1.627107554,0.176670733,-9.209830752,3.27E-20,9.58E-18
ENSG00000112118,3529.7757,0.872126246,0.095022053,9.178145653,4.39E-20,1.26E-17
ENSG00000139211,899.2718254,1.08910171,0.118924528,9.157923295,5.29E-20,1.50E-17
ENSG00000134684,4700.313116,0.875534255,0.095900045,9.129654298,6.87E-20,1.91E-17
ENSG00000113013,7979.339539,0.96136233,0.105718051,9.093644125,9.58E-20,2.62E-17
ENSG00000184575,4164.3804,0.974126685,0.107330551,9.075949739,1.13E-19,3.04E-17
ENSG00000149150,1447.970783,1.002341583,0.111374738,8.999721134,2.26E-19,6.00E-17
ENSG00000163931,16392.82583,0.948386772,0.105568804,8.983589212,2.62E-19,6.84E-17
ENSG00000143476,514.3950379,1.180122918,0.131506596,8.973868647,2.86E-19,7.35E-17
ENSG00000065328,336.8275145,1.330259101,0.148468981,8.959845309,3.25E-19,8.22E-17
ENSG00000117707,3922.671392,-1.008995609,0.113458684,-8.893066355,5.94E-19,1.48E-16
ENSG00000134802,816.1098814,1.03477118,0.116572215,8.876653662,6.89E-19,1.69E-16
ENSG00000101057,927.1574586,1.074117788,0.121344449,8.851808222,8.61E-19,2.08E-16
ENSG00000167670,601.4796906,1.073630009,0.121495713,8.83677281,9.85E-19,2.35E-16
ENSG00000126218,1133.876484,-1.147108327,0.130230665,-8.808281281,1.27E-18,2.98E-16
ENSG00000197785,1410.998927,0.935531807,0.106492699,8.784938468,1.56E-18,3.62E-16
ENSG00000065911,3729.387215,1.035379199,0.117990405,8.775113494,1.71E-18,3.90E-16
ENSG00000146700,234.0605799,-1.610686195,0.18377282,-8.764550684,1.88E-18,4.22E-16
ENSG00000140297,61.81542029,3.074475892,0.351481311,8.74719593,2.19E-18,4.86E-16
ENSG00000160180,1404.883689,-1.120704978,0.128377578,-8.729756383,2.55E-18,5.59E-16
ENSG00000090861,13179.65332,0.820667921,0.09423094,8.7091132,3.06E-18,6.62E-16
ENSG00000093009,448.3003427,1.23250328,0.141661775,8.700323547,3.31E-18,7.06E-16
ENSG00000106105,4683.525148,0.846487825,0.097392089,8.691546077,3.58E-18,7.53E-16
ENSG00000164574,341.4672392,-1.383027205,0.160458582,-8.619216196,6.74E-18,1.40E-15
ENSG00000145198,442.0943022,-1.428236795,0.166272878,-8.589715973,8.72E-18,1.79E-15
ENSG00000111077,834.9193284,-0.984961227,0.115151499,-8.553611854,1.19E-17,2.42E-15
ENSG00000187840,2905.732673,0.973895227,0.114365594,8.515631242,1.66E-17,3.32E-15
ENSG00000153879,1907.62892,0.969632501,0.114735274,8.451041002,2.89E-17,5.72E-15
ENSG00000186895,4670.559178,-0.816787906,0.096830238,-8.435256601,3.30E-17,6.46E-15
ENSG00000168646,3537.283126,-0.762560817,0.090421982,-8.433356559,3.36E-17,6.49E-15
ENSG00000115902,253.4569824,1.498201832,0.178200204,8.407408088,4.19E-17,8.01E-15
ENSG00000109814,1749.678196,1.08009831,0.128781068,8.387089238,4.98E-17,9.41E-15
ENSG00000163918,763.5871678,1.095360371,0.130624509,8.385565493,5.05E-17,9.43E-15
ENSG00000178921,1541.073478,0.853686349,0.102003213,8.369210354,5.80E-17,1.07E-14
ENSG00000147955,2545.251544,0.784946962,0.093822119,8.366331634,5.94E-17,1.09E-14
ENSG00000168003,6131.205366,0.766703509,0.091856706,8.346734178,7.02E-17,1.27E-14
ENSG00000172216,3549.690634,1.043856177,0.125385963,8.325143828,8.42E-17,1.50E-14
ENSG00000004455,5713.80911,0.830498104,0.100281072,8.281703456,1.21E-16,2.15E-14
ENSG00000049541,652.4226678,1.008071381,0.12180142,8.2763516,1.27E-16,2.22E-14
ENSG00000168159,3236.483449,0.903635403,0.109216874,8.273770992,1.30E-16,2.24E-14
ENSG00000099901,1940.366065,0.904235349,0.109676562,8.244563196,1.66E-16,2.84E-14
ENSG00000183696,1328.564406,0.897700356,0.109420325,8.204146288,2.32E-16,3.93E-14
ENSG00000136997,10248.14739,0.769200216,0.094318408,8.155356248,3.48E-16,5.78E-14
ENSG00000182809,186.8661078,-1.552702995,0.190370811,-8.156203067,3.46E-16,5.78E-14
ENSG00000012048,449.5163131,1.153881459,0.141803283,8.137198491,4.05E-16,6.65E-14
ENSG00000064393,3739.621314,-0.923346388,0.113827863,-8.111778317,4.99E-16,8.12E-14
ENSG00000130513,9476.475578,0.875210528,0.108169498,8.091102827,5.91E-16,9.53E-14
ENSG00000120708,3021.174918,-0.871953873,0.107885409,-8.082222463,6.36E-16,1.01E-13
ENSG00000116852,1230.116279,1.001985964,0.124162969,8.069925967,7.03E-16,1.11E-13
ENSG00000108932,685.2444437,1.191551235,0.147844233,8.059504306,7.66E-16,1.20E-13
ENSG00000136158,2432.354588,-0.972524227,0.121152821,-8.027252018,9.97E-16,1.55E-13
ENSG00000167513,1501.518722,0.855223298,0.106646215,8.019256021,1.06E-15,1.63E-13
ENSG00000100297,912.6140458,0.969008724,0.120889945,8.015627144,1.10E-15,1.67E-13
ENSG00000125740,525.2938153,-1.447296639,0.181001374,-7.99605331,1.28E-15,1.94E-13
ENSG00000164076,414.0823748,1.14313655,0.143151419,7.985506244,1.40E-15,2.09E-13
ENSG00000255717,5158.370745,0.781482893,0.098899536,7.901785263,2.75E-15,4.07E-13
ENSG00000101412,459.2038353,1.213350674,0.153599528,7.899442746,2.80E-15,4.11E-13
ENSG00000023909,997.6602288,1.182422198,0.149780396,7.894372229,2.92E-15,4.24E-13
novel.63,253.3024807,-1.482164956,0.188796137,-7.850610605,4.14E-15,5.97E-13
ENSG00000135046,345.3949242,1.454437349,0.185956776,7.821373228,5.23E-15,7.47E-13
ENSG00000100994,5091.745533,0.79696088,0.102416421,7.781573244,7.16E-15,1.01E-12
ENSG00000064300,217.0641328,-1.409815357,0.181277691,-7.777103461,7.42E-15,1.04E-12
ENSG00000257345,70.75426438,-2.25272435,0.290257231,-7.761130839,8.42E-15,1.17E-12
ENSG00000140807,62140.4504,-0.802095774,0.103647825,-7.738664813,1.00E-14,1.39E-12
ENSG00000094804,540.900613,0.998415132,0.129608718,7.703302251,1.33E-14,1.82E-12
ENSG00000022267,812.3029497,1.004984334,0.130527049,7.699433502,1.37E-14,1.86E-12
ENSG00000154856,1978.575839,-1.117039968,0.145639751,-7.669883801,1.72E-14,2.32E-12
ENSG00000166035,634.0932542,-1.318247263,0.172443318,-7.644525048,2.10E-14,2.80E-12
ENSG00000213981,722.3462025,-1.179869353,0.154741981,-7.624752795,2.45E-14,3.24E-12
ENSG00000095739,3076.046577,-0.7483987,0.098351747,-7.609409277,2.75E-14,3.62E-12
ENSG00000168496,1112.173844,0.938556608,0.123528965,7.597866689,3.01E-14,3.93E-12
ENSG00000174371,216.6853946,1.304751817,0.172085673,7.581989811,3.40E-14,4.40E-12
