"","Ctr_1_count","Ctr_2_count","Ctr_3_count","TTT_1_count","TTT_2_count","TTT_3_count"
"ENSG00000210082",16600.216093605,21438.3292050282,25763.6276385724,22960.5759884733,25144.4408699043,22340.5755517948
"ENSG00000156508",19806.0784578059,16667.1658892239,16424.0095884871,19291.0900368006,16988.3140526836,16837.9235638396
"ENSG00000198804",8693.99968425042,14225.273981988,16133.2838500165,13256.2030949632,13540.0490487554,14630.1091932189
"ENSG00000170421",8002.00504960728,6793.81103092096,7204.9288722327,5436.25362631064,5817.67780961043,5705.30965092986
"ENSG00000198938",5024.30555969795,7184.33494076146,8750.37215288086,5993.57598530789,5849.48130390128,6243.57969334937
"ENSG00000167658",6383.34106800506,5717.95644967372,5163.89548431183,6031.72155685651,5516.1743860115,6029.22927289898
"ENSG00000198886",3324.36787450823,5469.0302106029,6759.41944948439,5063.91851161667,5247.52407697705,5496.65440976724
"ENSG00000184009",6481.71455999262,5709.01668381235,5436.08645963745,4587.28664433407,4135.29395402978,4327.22746273916
"ENSG00000198712",3545.96920208808,5204.38231432761,6750.52030823925,5128.19192190534,4981.60278065403,5376.04764838991
"ENSG00000142541",4427.45335237375,3659.08726942918,3984.11484875725,4375.95695891915,4260.14628557754,4040.09970696539
"ENSG00000174444",4086.65059286557,3430.45532642296,3527.80370973898,4261.19834071592,4033.42830647443,3795.2573974079
"ENSG00000198899",2372.84418394441,3522.37050530793,4806.21137964491,3928.88656832191,3792.43549165001,3996.10066698109
"ENSG00000140988",4138.94413180994,3247.80666184159,3579.23460879713,3759.2970441796,3723.31799663177,3639.77396287005
"ENSG00000089157",4074.37254712483,3532.69747621675,3316.31101504403,3691.58999594562,3334.64360930824,3510.70003228612
"ENSG00000075624",3857.04616664499,3540.04452517179,3387.50414500518,3345.65097295618,3253.98029128012,3375.17492516383
"ENSG00000100316",3723.28008936429,3187.12928550668,3192.95050536996,3536.21787892059,3221.70446786614,3307.38717169433
"ENSG00000140807",4097.73563011328,4506.97782121157,4363.89337306728,2613.26672934129,2032.5896598758,2462.1318457189
"ENSG00000149273",3374.77248333864,2786.53529458096,2972.62004281776,3479.34825045148,3404.44335750434,3275.13128900253
"ENSG00000167526",2924.75973803124,2450.98580699138,2597.99688309112,2722.23108351182,2973.57423518107,2813.41856815935
"ENSG00000198763",1694.072060099,2621.45789393399,3502.2110069857,2682.95884951239,2661.41716580484,2810.09218025676
"ENSG00000111057",3068.71609618989,2628.29116324182,2751.1848592834,2073.7563671853,2314.98999449474,2158.87614859922
"ENSG00000167996",1562.19491293225,1404.21115377594,1373.72054131083,2980.34408593151,3395.83647126061,3259.45694600698
"ENSG00000135486",2624.86722809646,2351.15842153945,2327.58573601452,2358.21181071663,2238.5776385748,2139.97621733449
"ENSG00000111640",2889.81453092298,2614.05946701424,2365.637236511,2102.99594031329,1936.70684788011,2069.31567431276
"ENSG00000147403",2525.64868842635,2291.868250252,2200.97243678188,2144.89705336458,2202.62814420313,2171.82890149265
"ENSG00000096384",2323.4834575454,2161.67648765025,2018.01836745929,2395.28437040734,2183.68249826419,2240.97745001321
"ENSG00000205542",2835.03555761813,2439.32300899983,2576.70031749067,1726.90528411664,1893.35753057937,1634.71805485738
"ENSG00000166441",2406.69579993407,1993.05400743758,2279.89861361813,2134.48883834288,2125.95338321479,2067.45088109464
"ENSG00000161016",2240.71849334162,1834.75849813372,1961.18661026616,2300.80567631857,2243.19596777876,2185.8400505369
"ENSG00000148303",2381.04611733398,2024.29180998764,2119.40720426604,2111.31178221207,2125.48105409166,2012.81747978539
"ENSG00000198888",1417.44321577825,2304.76411939684,2928.55395030732,1978.63386598178,2025.24231796042,2204.18558381787
"ENSG00000231500",2182.65874668095,1885.10890355981,2043.54969682467,2153.05194348468,2237.26561323277,2032.57420793412
"ENSG00000198034",2310.01240331163,1969.36876570143,1922.6441226665,2167.85950712381,2079.87505320263,1938.72974922765
"ENSG00000204628",2135.48520251916,1922.10103815857,1891.34369483875,2184.169287364,2005.19457073417,2083.32682335701
"ENSG00000229117",2262.54060702658,1921.58725851136,2121.49389945456,2113.45780592789,1833.319250928,1828.05175174139
"ENSG00000137154",2081.00448133757,1755.12265281695,1908.83511038955,2138.94183755319,1919.65051843369,1747.00884647823
"ENSG00000137818",2070.01886146427,1715.81850980577,1844.69992003661,1861.72922406274,1890.89092293635,1944.97932649919
"ENSG00000137309",1636.06202212554,1497.56491567309,1542.55873141698,2010.50231816164,2214.27892924037,2275.09812592314
"ENSG00000074800",1956.98130674992,1734.67422285819,1482.35143788949,1884.74532841486,1927.05034136275,2021.68784752564
"ENSG00000174748",2083.09224620037,1708.16319306241,1677.70293156738,1812.58528097057,1663.75309572379,1577.46386307942
"ENSG00000122406",1840.46414393091,1562.14701732676,1588.46602556435,1922.46169522032,1788.97279436732,1647.06600995034
"ENSG00000070756",1654.95132326514,1611.52124142316,1515.79993429365,1866.98698216649,1794.69322485858,1785.86710515851
"ENSG00000162244",1879.08779389267,1553.05311757123,1709.8625868257,1746.86330467372,1695.60907102833,1601.75657473169
"ENSG00000089009",1856.91771939724,1602.73560945595,1650.08490701349,1742.57125724209,1715.49937521353,1594.75100020956
"ENSG00000145425",1985.76263664421,1607.41100424552,1610.68319198326,1800.29929519753,1661.96874125863,1488.20578769319
"ENSG00000108298",1816.70339144478,1563.07182069173,1747.423100219,1769.34290309689,1644.07271559332,1578.27026014672
"ENSG00000130402",1741.89181719451,1715.92126573521,1669.8471379165,1596.10513863769,1620.77114551883,1728.1089152135
"ENSG00000142937",1710.27709212929,1408.98930449495,1606.32568144253,1808.02498057446,1742.10724914994,1667.88113424989
