gene_id,Ctr_1,Ctr_2,Ctr_3,TTT_1,TTT_2,TTT_3
ENSG00000210082,10718.19234,12900.97432,15709.29572,14963.03985,16548.46495,14138.31791
ENSG00000156508,3351.825921,2628.866235,2624.847319,3295.102871,2930.496236,2792.975168
ENSG00000198804,5675.30448,8654.738618,9945.673953,8734.095671,9009.438202,9360.794141
ENSG00000170421,1170.580225,926.274259,995.3457273,802.6594476,867.4809667,818.044941
ENSG00000198938,6450.804809,8597.025183,10609.77754,7766.996729,7655.316334,7857.187145
ENSG00000167658,1595.586452,1332.100232,1218.966108,1521.748298,1405.459077,1477.167249
ENSG00000198886,2428.363963,3723.392289,4662.898865,3733.538724,3907.212837,3935.489116
ENSG00000184009,2179.902678,1789.502402,1726.535272,1557.156744,1417.625499,1426.436715
ENSG00000198712,5218.344872,7138.234005,9381.601098,7617.129477,7472.65342,7754.548351
ENSG00000142541,1881.234148,1449.056759,1598.683914,1876.683995,1845.105903,1682.583103
ENSG00000174444,729.748805,570.9281063,594.9112673,768.0100157,734.1556642,664.267036
ENSG00000198899,3507.325144,4852.500784,6708.903916,5861.456521,5713.90397,5789.470014
ENSG00000140988,1726.577839,1262.730111,1410.031,1582.823504,1583.195892,1488.218136
ENSG00000089157,1025.052491,828.3532622,787.9207151,937.4067541,855.1508286,865.7144619
ENSG00000075624,1103.289513,943.772129,915.0743563,965.9275091,948.7624724,946.2949442
ENSG00000100316,782.9178601,624.6172065,634.0515603,750.51393,690.5324924,681.6651805
ENSG00000140807,236.7146132,242.6556033,238.0658823,152.3681245,119.6847376,139.4081036
ENSG00000149273,576.3526414,443.5393002,479.4298681,599.7509404,592.6493715,548.236673
ENSG00000167526,476.9998014,372.556864,400.1368278,448.1075287,494.3274353,449.7362897
ENSG00000198763,1636.507805,2360.222019,3194.996643,2615.950139,2620.638286,2660.739446
ENSG00000111057,959.8969054,766.2405393,812.698671,654.7188759,738.1165198,661.8981834
ENSG00000167996,774.6278399,648.9542346,643.2772181,1491.603997,1716.376569,1584.158791
ENSG00000135486,518.7852078,433.0977296,434.4380218,470.4270686,450.9831668,414.557495
ENSG00000111640,975.8024731,822.6804506,754.3657951,716.7366749,666.5976203,684.8796657
ENSG00000147403,526.9016316,445.625486,433.6237917,451.6399017,468.3879496,444.0969507
ENSG00000096384,784.8329731,680.5375997,643.7313608,816.6274721,751.8567033,741.9433097
ENSG00000205542,1673.740199,1342.216642,1436.598287,1029.028266,1139.383943,945.9495537
ENSG00000166441,336.7945536,259.9481298,301.3014979,301.4858941,303.2532918,283.5793748
ENSG00000161016,1044.692739,797.2673073,863.4995066,1082.70581,1066.047166,998.8844158
ENSG00000148303,1069.02071,847.0620013,898.6169674,956.7532196,972.7102151,885.7645352
ENSG00000198888,1492.456553,2261.758766,2911.998543,2102.764881,2173.60662,2274.781911
ENSG00000231500,1157.560109,931.7897458,1023.492848,1152.501419,1209.436821,1056.573473
ENSG00000198034,779.7593529,619.5795813,612.8964165,738.5955106,715.6348037,641.4445744
ENSG00000204628,358.8588524,301.0419934,300.1507619,370.4611264,343.4721626,343.1469032
ENSG00000229117,2093.251481,1656.9481,1853.568791,1973.548737,1728.904681,1657.71204
ENSG00000137154,771.8218909,606.7018489,668.5815502,800.7045591,725.7284924,635.0892499
ENSG00000137818,637.0120952,492.1171437,536.0940676,578.2546599,593.1271169,586.6565799
ENSG00000137309,707.7132069,603.7636521,630.1459388,877.7914861,976.3326004,964.6133099
ENSG00000074800,373.366897,308.4542996,267.0805173,362.9368436,374.7573162,378.0583324
ENSG00000174748,290.3387069,221.8960471,220.8276221,254.9905785,236.3704812,215.5020648
ENSG00000122406,498.4122637,394.2820746,406.2385992,525.4704563,493.8249425,437.1877097
ENSG00000070756,350.5602844,318.1539302,303.2223914,399.1609312,387.5035077,370.7850427
ENSG00000162244,919.084879,707.9761531,789.7900459,862.3761177,845.360999,767.8928885
ENSG00000089009,420.319415,338.1212353,352.7239741,398.113208,395.8086505,353.8141963
ENSG00000145425,853.846576,644.1740323,654.0403309,781.3155486,728.4223863,627.2072592
ENSG00000108298,1038.433263,832.7166874,943.2667659,1020.788625,957.907366,884.2427705
ENSG00000130402,287.532989,263.9900916,260.3065601,265.9238226,272.7068979,279.5974404
ENSG00000142937,604.6902019,464.2991831,536.3421792,645.2085722,627.8404138,577.999057
ENSG00000138326,219.161677,178.6995294,207.7178083,223.1505695,230.1309695,189.6046646
ENSG00000265972,535.2309386,470.3205053,454.4342714,380.0200244,413.4285522,375.26574
ENSG00000112306,2202.711422,1727.186212,1762.180329,2285.129648,2228.731287,1984.413784
