Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa01200:Carbon metabolism	25	33.33333333333333	7.632689765164003E-30	GPI, GLDC, ADPGK, RPE, PDHB, GCSH, PGLS, DLAT, G6PD, PDHA1, TPI1, GOT1, AMT, SDHC, SDHD, PGD, SDHA, SDHB, RPIA, CS, PC, SUCLG1, TKT, DLD, GAPDH	64	115	8644	29.36141304347826	7.4800359698607225E-28	7.4800359698607225E-28	6.487786300389402E-28
KEGG_PATHWAY	hsa01100:Metabolic pathways	48	64.0	7.01769833782018E-23	GPI, GLDC, ADPGK, RPE, TECR, HSD17B12, PDHB, HSD11B1, GCSH, PTDSS2, HSD11B2, SGPL1, CA5B, DBT, PGLS, DLAT, PTGDS, BCKDHA, PDHX, G6PD, PDHA1, TPI1, GOT1, ACSL1, DCXR, BCKDHB, SLC33A1, AKR1C3, AMT, SDHC, SDHD, PGD, SDHA, ACADSB, SDHB, PISD, RPIA, CS, QDPR, PC, IVD, FASN, ALDH1A1, CMPK1, SUCLG1, TKT, DLD, GAPDH	64	1546	8644	4.19340232858991	6.877344371063776E-21	3.438672185531888E-21	2.9825217935735764E-21
KEGG_PATHWAY	hsa00785:Lipoic acid metabolism	10	13.333333333333334	2.777188108242293E-15	BCKDHA, GCSH, PDHA1, GLDC, BCKDHB, DBT, AMT, DLAT, PDHB, DLD	64	19	8644	71.08552631578947	2.7200464103316335E-13	9.072147820258157E-14	7.868699640019829E-14
KEGG_PATHWAY	hsa00020:Citrate cycle (TCA cycle)	11	14.666666666666666	5.427907363719716E-15	CS, PC, PDHA1, SUCLG1, SDHC, SDHD, DLAT, PDHB, SDHA, SDHB, DLD	64	30	8644	49.52291666666667	5.331290964250002E-13	1.3298373041113303E-13	1.1534303147904396E-13
KEGG_PATHWAY	hsa01210:2-Oxocarboxylic acid metabolism	9	12.0	6.05482607321201E-11	BCKDHA, CS, PDHA1, GOT1, BCKDHB, DBT, DLAT, PDHB, DLD	64	33	8644	36.83522727272727	5.933726843210252E-9	1.1867459103495542E-9	1.0293204324460417E-9
KEGG_PATHWAY	hsa00030:Pentose phosphate pathway	7	9.333333333333334	7.506398352679084E-8	RPIA, GPI, G6PD, RPE, PGLS, PGD, TKT	64	31	8644	30.497983870967744	7.356243599154766E-6	1.226045064270917E-6	1.0634064332962036E-6
KEGG_PATHWAY	hsa00010:Glycolysis / Gluconeogenesis	8	10.666666666666668	4.791452342975691E-7	GPI, PDHA1, TPI1, ADPGK, DLAT, PDHB, GAPDH, DLD	64	67	8644	16.12686567164179	4.6955141780435916E-5	6.708033280165967E-6	5.818192130756196E-6
KEGG_PATHWAY	hsa01230:Biosynthesis of amino acids	8	10.666666666666668	1.0448865075952776E-6	RPIA, CS, PC, TPI1, GOT1, RPE, TKT, GAPDH	64	75	8644	14.406666666666666	1.0239368865583298E-4	1.279985971804215E-5	1.1101919143199825E-5
KEGG_PATHWAY	hsa00280:Valine, leucine and isoleucine degradation	6	8.0	2.3547474877187164E-5	BCKDHA, IVD, BCKDHB, DBT, ACADSB, DLD	64	48	8644	16.8828125	0.002305019062303182	2.564058375515936E-4	2.2239281828454545E-4
KEGG_PATHWAY	hsa01212:Fatty acid metabolism	6	8.0	5.475422560815282E-5	CPT2, ACSL1, FASN, TECR, HSD17B12, ACADSB	64	57	8644	14.217105263157896	0.005351689430538542	5.365914109598976E-4	4.654109176692989E-4
