Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1430728~Metabolism	61	81.33333333333333	3.4792059352664083E-31	ENSG00000091140, ENSG00000130313, ENSG00000197375, ENSG00000168291, ENSG00000178537, ENSG00000083123, ENSG00000151726, ENSG00000160211, ENSG00000165029, ENSG00000149084, ENSG00000140905, ENSG00000111700, ENSG00000111669, ENSG00000159322, ENSG00000137992, ENSG00000169239, ENSG00000171503, ENSG00000169710, ENSG00000248098, ENSG00000128928, ENSG00000157184, ENSG00000163931, ENSG00000142657, ENSG00000105220, ENSG00000162368, ENSG00000125454, ENSG00000153574, ENSG00000073578, ENSG00000241878, ENSG00000105379, ENSG00000095321, ENSG00000107317, ENSG00000117118, ENSG00000204370, ENSG00000151552, ENSG00000197713, ENSG00000117594, ENSG00000163541, ENSG00000062485, ENSG00000120053, ENSG00000143252, ENSG00000163586, ENSG00000178445, ENSG00000099797, ENSG00000110435, ENSG00000145020, ENSG00000196177, ENSG00000176387, ENSG00000111640, ENSG00000165092, ENSG00000173599, ENSG00000196139, ENSG00000140374, ENSG00000174915, ENSG00000166224, ENSG00000150768, ENSG00000168003, ENSG00000155380, ENSG00000131828, ENSG00000169738, ENSG00000100075	74	2127	11044	4.28013062427731	6.019026268010887E-29	6.019026268010887E-29	4.9404724280783E-29
REACTOME_PATHWAY	R-HSA-389661~Glyoxylate metabolism and glycine degradation	11	14.666666666666666	3.2978672643827244E-15	ENSG00000091140, ENSG00000083123, ENSG00000178445, ENSG00000248098, ENSG00000140905, ENSG00000110435, ENSG00000150768, ENSG00000145020, ENSG00000131828, ENSG00000168291, ENSG00000137992	74	31	11044	52.957279860505665	5.762057497804562E-13	2.8526551836910564E-13	2.341485757711734E-13
REACTOME_PATHWAY	R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle	12	16.0	4.569064695741507E-14	ENSG00000073578, ENSG00000091140, ENSG00000163541, ENSG00000110435, ENSG00000150768, ENSG00000062485, ENSG00000155380, ENSG00000143252, ENSG00000117118, ENSG00000131828, ENSG00000204370, ENSG00000168291	74	55	11044	32.56216216216217	7.913225630318266E-12	2.634827307877602E-12	2.1626906226509802E-12
REACTOME_PATHWAY	R-HSA-425407~SLC-mediated transmembrane transport	17	22.666666666666664	4.08486730430673E-12	ENSG00000177542, ENSG00000003989, ENSG00000103064, ENSG00000100170, ENSG00000111700, ENSG00000074621, ENSG00000197375, ENSG00000151229, ENSG00000197208, ENSG00000169359, ENSG00000112394, ENSG00000168003, ENSG00000183023, ENSG00000155380, ENSG00000147100, ENSG00000123643, ENSG00000101187	74	247	11044	10.27180216653901	7.066779383890776E-10	1.7667051091126607E-10	1.4501278930288893E-10
REACTOME_PATHWAY	R-HSA-1428517~The citric acid (TCA) cycle and respiratory electron transport	15	20.0	7.716760297504756E-12	ENSG00000091140, ENSG00000073578, ENSG00000105379, ENSG00000110435, ENSG00000117118, ENSG00000168291, ENSG00000204370, ENSG00000140374, ENSG00000171503, ENSG00000163541, ENSG00000150768, ENSG00000062485, ENSG00000155380, ENSG00000143252, ENSG00000131828	74	178	11044	12.576677801396903	1.334991894808013E-9	2.6699990629366457E-10	2.1915599244913504E-10
REACTOME_PATHWAY	R-HSA-71403~Citric acid cycle (TCA cycle)	7	9.333333333333334	4.642767481676907E-9	ENSG00000073578, ENSG00000091140, ENSG00000163541, ENSG00000062485, ENSG00000143252, ENSG00000117118, ENSG00000204370	74	22	11044	47.48648648648649	8.031984574108364E-7	1.338664623883508E-7	1.0987883039968681E-7
REACTOME_PATHWAY	R-HSA-71387~Metabolism of carbohydrates	15	20.0	7.378467227998938E-9	ENSG00000153574, ENSG00000130313, ENSG00000111669, ENSG00000159322, ENSG00000173599, ENSG00000111640, ENSG00000165092, ENSG00000197713, ENSG00000163931, ENSG00000120053, ENSG00000160211, ENSG00000142657, ENSG00000169738, ENSG00000105220, ENSG00000100075	74	299	11044	7.4871192262496615	1.276474029698882E-6	1.8235354720625948E-7	1.4967747805369274E-7
REACTOME_PATHWAY	R-HSA-71291~Metabolism of amino acids and derivatives	16	21.333333333333336	1.680254152693497E-8	ENSG00000091140, ENSG00000178445, ENSG00000140905, ENSG00000110435, ENSG00000196177, ENSG00000145020, ENSG00000168291, ENSG00000137992, ENSG00000151552, ENSG00000083123, ENSG00000248098, ENSG00000128928, ENSG00000150768, ENSG00000168003, ENSG00000120053, ENSG00000131828	74	375	11044	6.367711711711713	2.906835492977322E-6	3.633549605199687E-7	2.982451121030957E-7
REACTOME_PATHWAY	R-HSA-71336~Pentose phosphate pathway	6	8.0	3.132084342623673E-8	ENSG00000153574, ENSG00000130313, ENSG00000163931, ENSG00000160211, ENSG00000142657, ENSG00000197713	74	15	11044	59.6972972972973	5.4184913258481515E-6	6.020562125265505E-7	4.941733073917352E-7
REACTOME_PATHWAY	R-HSA-70895~Branched-chain amino acid catabolism	6	8.0	2.0578913978993527E-7	ENSG00000091140, ENSG00000083123, ENSG00000248098, ENSG00000128928, ENSG00000196177, ENSG00000137992	74	21	11044	42.640926640926644	3.560089112875087E-5	3.5412472148330133E-6	2.906688465354265E-6
