Pathways,Reactions,Reaction Names,Formula,grRules,
Glycolysis / Gluconeogenesis,MAR03905,ethanol:NAD+ oxidoreductase,MAM01986c + MAM02136e  -> MAM01986e + MAM02136c ,ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,
Glycolysis / Gluconeogenesis,MAR03907,Ethanol:NADP+ oxidoreductase,MAM02896e  -> MAM02896c ,ENSG00000117448,
Glycolysis / Gluconeogenesis,MAR04097,Acetate:CoA ligase (AMP-forming),MAM00559c + 2 MAM02039c + MAM02555c  -> MAM02554c + MAM02770c ,ENSG00000131069,
Glycolysis / Gluconeogenesis,MAR04099,Acetate:CoA ligase (AMP-forming),MAM00170x + MAM02552x  -> MAM00841x + MAM02039x + MAM02553x ,ENSG00000111058 or ENSG00000154930,
Glycolysis / Gluconeogenesis,MAR04108,acetyl adenylate:CoA acetyltransferase,MAM00841x + MAM01597x  -> MAM01261x + MAM02677x ,ENSG00000131069,
Glycolysis / Gluconeogenesis,MAR04133,ATP:acetate adenylyltransferase,MAM02040x + MAM03024x  -> MAM00170x ,ENSG00000131069,
Glycolysis / Gluconeogenesis,MAR04281,(S)-Lactate:NAD+ oxidoreductase,MAM01586x + MAM02630x  -> MAM02041x + MAM03024x ,ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,
Glycolysis / Gluconeogenesis,MAR04388,(S)-Lactate:NAD+ oxidoreductase,MAM00018x + MAM02630x  -> MAM02041x + MAM03014x ,ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,
Glycolysis / Gluconeogenesis,MAR04283,Acetaldehyde:NADP+ oxidoreductase,MAM00018c + MAM01371c + MAM02040c  -> MAM00018x + MAM01285c + MAM02039c + MAM02751c ,ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,
Glycolysis / Gluconeogenesis,MAR08357,Acetaldehyde:NAD+ oxidoreductase,MAM00702x + MAM02552x  -> MAM00843x + MAM02039x + MAM02553x ,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,
Glycolysis / Gluconeogenesis,MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,MAM02040x + MAM03014x  -> MAM00702x ,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
Glycolysis / Gluconeogenesis,MAR04358,ATP:pyruvate 2-O-phosphotransferase,MAM00843x + MAM01597x  -> MAM01261x + MAM01586x ,ENSG00000067225 or ENSG00000121900 or ENSG00000143627 or ENSG00000143630,
Glycolysis / Gluconeogenesis,MAR04360,2-Oxopropanal:NADP+ oxidoreductase,MAM00238c + MAM02040c  -> MAM00507c + MAM02039c + MAM10005c ,ENSG00000180011,
